Exp,Material,Sample,Sample ID,Identifier,FINAL,Ratio,RSD ppm,Analysis Done By,Unnamed: 8
E16,Yb,RP,E16 Yb RP,A,172/173,1.259646735,49968.1,,
E16,Yb,RP,E16 Yb RP,A,174/173,2.084536203,789.8,,
E16,Yb,RP,E16 Yb RP,A,176/173,75.20537784,10796.6,,
E16,Yb,RP,E16 Yb RP,B,170/173,0.206125655,1007.4,,
E16,Yb,RP,E16 Yb RP,B,171/173,1.025557467,350.8,,
E16,Yb,RP,E16 Yb RP,B,172/173,1.446695416,259.1,,
E16,Yb,RP,E16 Yb RP,B,174/173,2.107029287,309.9,,
E16,Yb,RP,E16 Yb RP,B,176/173,75.28693372,2765.7,,
Nat,Lu,500,Nat Lu 500-1,A,176/175,0.029048222,534.5,,
Nat,Lu,500,Nat Lu 500-2,A,176/175,0.029002372,443.9,,
Nat,Lu,500,Nat Lu 500-3,A,176/175,0.029148222,432.6,,
Nat,Lu,500,Nat Lu 500-4,A,176/175,0.029268409,380.3,,
Nat,Lu,500,Nat Lu 500-5,A,176/175,0.029013731,478.3,,
Nat,Lu,500,Nat Lu 500-6,A,176/175,0.028999671,297.6,,
Nat,Lu,750,Nat Lu 750-1,A,176/175,0.029024013,256.1,,
Nat,Lu,750,Nat Lu 750-2,A,176/175,0.029056694,327.6,,
Nat,Lu,750,Nat Lu 750-3,A,176/175,0.029199574,351.4,,
Nat,Lu,750,Nat Lu 750-4,A,176/175,0.029062584,355.3,,
Nat,Lu,750,Nat Lu 750-5,A,176/175,0.029039982,343.5,,
Nat,Lu,750,Nat Lu 750-6,A,176/175,0.029048312,215.3,,
Nat,Lu,1500,Nat Lu 1500-1,A,176/175,0.029105163,174.9,,
Nat,Lu,1500,Nat Lu 1500-2,A,176/175,0.029104405,194.6,,
Nat,Lu,1500,Nat Lu 1500-3,A,176/175,0.029029467,174.7,,
Nat,Lu,1500,Nat Lu 1500-4,A,176/175,0.029296442,285.4,,
Nat,Lu,1500,Nat Lu 1500-5,A,176/175,0.03745232,459.29,, 
E17,Yb,CP,E17 Yb CP,A,170/173,0.188577842,905.24,,
E17,Yb,CP,E17 Yb CP,A,171/173,0.866603557,965.49,,
E17,Yb,CP,E17 Yb CP,A,172/173,1.330125984,494.81,,
E17,Yb,CP,E17 Yb CP,A,174/173,1.975805069,381.99,,
E17,Yb,CP,E17 Yb CP,A,176/173,67.64016684,318.1,,
E17,Yb,Tails,E17 Yb Tails,A,170/173,0.185896704,227.06,,
E17,Yb,Tails,E17 Yb Tails,A,171/173,0.877717945,167.52,,
E17,Yb,Tails,E17 Yb Tails,A,172/173,1.348388772,416.47,,
E17,Yb,Tails,E17 Yb Tails,A,174/173,1.969831191,113.23,,
E17,Yb,Tails,E17 Yb Tails,A,176/173,0.507700358,105.28,,
E18,Yb,CP,E18 Yb CP,A,170/173,0.188591436,5329.77,,
E18,Yb,CP,E18 Yb CP,A,171/173,0.821715862,3146.0,,
E18,Yb,CP,E18 Yb CP,A,172/173,1.255464147,2435.24,,
E18,Yb,CP,E18 Yb CP,A,174/173,1.938092425,1843.41,,
E18,Yb,CP,E18 Yb CP,A,176/173,165.6794268,2778.74,,
E18,Yb,CG,E18 Yb CG,A,170/173,0.180514461,8266.16,,
E18,Yb,CG,E18 Yb CG,A,171/173,0.826762868,14406.04,,
E18,Yb,CG,E18 Yb CG,A,172/173,1.297267791,35494.31,,
E18,Yb,CG,E18 Yb CG,A,174/173,1.960734695,828.38,,
E18,Yb,CG,E18 Yb CG,A,176/173,52.60812466,945.15,,
E18,Yb,CA,E18 Yb CA,A,170/173,0.187743041,1526.3,,
E18,Yb,CA,E18 Yb CA,A,171/173,0.873545365,6089.08,,
E18,Yb,CA,E18 Yb CA,A,172/173,1.355975194,4024.66,,
E18,Yb,CA,E18 Yb CA,A,174/173,1.953776758,401.95,,
E18,Yb,CA,E18 Yb CA,A,176/173,18.49831451,1103.43,,
E18,Yb,RG,E18 Yb RG,A,170/173,0.187640864,2507.92,,
E18,Yb,RG,E18 Yb RG,A,171/173,0.880793784,132.36,,
E18,Yb,RG,E18 Yb RG,A,172/173,1.351835798,2863.11,,
E18,Yb,RG,E18 Yb RG,A,174/173,1.959354461,184.43,,
E18,Yb,RG,E18 Yb RG,A,176/173,12.66062128,327.76,,
E18,Yb,RP,E18 Yb RP,A,170/173,0.186884307,3097.92,,
E18,Yb,RP,E18 Yb RP,A,171/173,0.867849455,3523.41,,
E18,Yb,RP,E18 Yb RP,A,172/173,1.34141561,4870.11,,
E18,Yb,RP,E18 Yb RP,A,174/173,1.950040598,277.24,,
E18,Yb,RP,E18 Yb RP,A,176/173,32.22064674,345.79,,
E18,Yb,Tails,E18 Yb Tails,A,170/173,0.18520995,226.55,,
E18,Yb,Tails,E18 Yb Tails,A,171/173,0.875586554,160.45,,
E18,Yb,Tails,E18 Yb Tails,A,172/173,1.345847783,893.46,,
E18,Yb,Tails,E18 Yb Tails,A,174/173,1.972699279,124.17,,
E18,Yb,Tails,E18 Yb Tails,A,176/173,0.485201213,287.7,,
E18,Yb,Nat,E18 Yb Nat,A,170/173,0.187950447,2318.18,,
E18,Yb,Nat,E18 Yb Nat,A,171/173,0.881017406,163.52,,
E18,Yb,Nat,E18 Yb Nat,A,172/173,1.352544549,1055.39,,
E18,Yb,Nat,E18 Yb Nat,A,174/173,1.965956392,122.75,,
E18,Yb,Nat,E18 Yb Nat,A,176/173,0.794392405,945.84,,
E17,Yb,Nat,E17 Yb Nat,A,170/173,0.187896972,154.98,,
E17,Yb,Nat,E17 Yb Nat,A,171/173,0.881580256,187.63,,
E17,Yb,Nat,E17 Yb Nat,A,172/173,1.349601999,394.54,,
E17,Yb,Nat,E17 Yb Nat,A,174/173,1.964351417,188.1,,
E17,Yb,Nat,E17 Yb Nat,A,176/173,0.788473873,243.58,,
E21,Yb,CP Box Top,E21 Yb CP Box Top,A,170/173,0.194358988,383.31,,
E21,Yb,CP Box Top,E21 Yb CP Box Top,A,171/173,0.911664732,321.88,,
E21,Yb,CP Box Top,E21 Yb CP Box Top,A,172/173,1.387586069,674.72,,
E21,Yb,CP Box Top,E21 Yb CP Box Top,A,174/173,1.9723405,255.35,,
E21,Yb,CP Box Top,E21 Yb CP Box Top,A,176/173,9.227905946,530.97,,
E21,Yb,Tails,E21 Yb Tails,A,170/173,0.187897211,909.51,,
E21,Yb,Tails,E21 Yb Tails,A,171/173,0.883220303,478.96,,
E21,Yb,Tails,E21 Yb Tails,A,172/173,1.343956805,411.1,,
E21,Yb,Tails,E21 Yb Tails,A,174/173,1.977625251,334.25,,
E21,Yb,Tails,E21 Yb Tails,A,176/173,0.709359714,392.38,,
E21,Yb,CP V Top,E21 Yb CP V Top,A,170/173,0.190992315,7677.12,,
E21,Yb,CP V Top,E21 Yb CP V Top,A,171/173,0.917516077,4507.24,,
E21,Yb,CP V Top,E21 Yb CP V Top,A,172/173,1.378052301,3674.47,,
E21,Yb,CP V Top,E21 Yb CP V Top,A,174/173,1.978128181,585.04,,
E21,Yb,CP V Top,E21 Yb CP V Top,A,176/173,38.98965813,591.41,,
E21,Yb,CP V Bottom,E21 Yb CP V Bottom,A,170/173,0.166489705,5982.95,,
E21,Yb,CP V Bottom,E21 Yb CP V Bottom,A,171/173,0.866632325,9426.72,,
E21,Yb,CP V Bottom,E21 Yb CP V Bottom,A,172/173,1.314421653,8140.64,,
E21,Yb,CP V Bottom,E21 Yb CP V Bottom,A,174/173,1.985093351,997.52,,
E21,Yb,CP V Bottom,E21 Yb CP V Bottom,A,176/173,30.34484155,827.03,,
E21,Yb,CP Box Bottom,E21 Yb CP Box Bottom,A,170/173,0.190435812,1065.75,,
E21,Yb,CP Box Bottom,E21 Yb CP Box Bottom,A,171/173,0.990906905,485.91,,
E21,Yb,CP Box Bottom,E21 Yb CP Box Bottom,A,172/173,1.499140227,424.16,,
E21,Yb,CP Box Bottom,E21 Yb CP Box Bottom,A,174/173,2.020750174,556.34,,
E21,Yb,CP Box Bottom,E21 Yb CP Box Bottom,A,176/173,17.75336789,383.25,,
T28,Lu,CP,T28 Lu CP,A,176/175,20,340,RUS,
